,section,temp,H,B,T,ro,ri
0,"40x40x2,6 (w)",w,40,40,2.6,3.9,2.6
1,"40x40x3,2 (w)",w,40,40,3.2,4.8,3.2
2,40x40x4 (w),w,40,40,4,6,4
3,40x40x5 (w),w,40,40,5,7.5,5
4,"50x50x2,6 (w)",w,50,50,2.6,3.9,2.6
5,50x50x4 (w),w,50,50,4,6,4
6,50x50x5 (w),w,50,50,5,7.5,5
7,"60x60x2,6 (w)",w,60,60,2.6,3.9,2.6
8,60x60x4 (w),w,60,60,4,6,4
9,60x60x5 (w),w,60,60,5,7.5,5
10,"60x60x6,3 (w)",w,60,60,6.3,9.45,6.3
11,"70x70x3,2 (w)",w,70,70,3.2,4.8,3.2
12,70x70x4 (w),w,70,70,4,6,4
13,70x70x5 (w),w,70,70,5,7.5,5
14,"70x70x6,3 (w)",w,70,70,6.3,9.45,6.3
15,"80x80x3,2 (w)",w,80,80,3.2,4.8,3.2
16,80x80x4 (w),w,80,80,4,6,4
17,80x80x5 (w),w,80,80,5,7.5,5
18,"80x80x6,3 (w)",w,80,80,6.3,9.45,6.3
19,80x80x8 (w),w,80,80,8,12,8
20,90x90x4 (w),w,90,90,4,6,4
21,90x90x5 (w),w,90,90,5,7.5,5
22,"90x90x6,3 (w)",w,90,90,6.3,9.45,6.3
23,90x90x8 (w),w,90,90,8,12,8
24,100x100x4 (w),w,100,100,4,6,4
25,100x100x5 (w),w,100,100,5,7.5,5
26,"100x100x6,3 (w)",w,100,100,6.3,9.45,6.3
27,100x100x8 (w),w,100,100,8,12,8
28,100x100x10 (w),w,100,100,10,15,10
29,120x120x5 (w),w,120,120,5,7.5,5
30,"120x120x6,3 (w)",w,120,120,6.3,9.45,6.3
31,120x120x8 (w),w,120,120,8,12,8
32,120x120x10 (w),w,120,120,10,15,10
33,"120x120x12,5 (w)",w,120,120,12.5,18.75,12.5
34,140x140x5 (w),w,140,140,5,7.5,5
35,"140x140x6,3 (w)",w,140,140,6.3,9.45,6.3
36,140x140x8 (w),w,140,140,8,12,8
37,140x140x10 (w),w,140,140,10,15,10
38,"140x140x12,5 (w)",w,140,140,12.5,18.75,12.5
39,150x150x5 (w),w,150,150,5,7.5,5
40,"150x150x6,3 (w)",w,150,150,6.3,9.45,6.3
41,150x150x8 (w),w,150,150,8,12,8
42,150x150x10 (w),w,150,150,10,15,10
43,"150x150x12,5 (w)",w,150,150,12.5,18.75,12.5
44,160x160x5 (w),w,160,160,5,7.5,5
45,"160x160x6,3 (w)",w,160,160,6.3,9.45,6.3
46,160x160x8 (w),w,160,160,8,12,8
47,160x160x10 (w),w,160,160,10,15,10
48,"160x160x12,5 (w)",w,160,160,12.5,18.75,12.5
49,180x180x5 (w),w,180,180,5,7.5,5
50,"180x180x6,3 (w)",w,180,180,6.3,9.45,6.3
51,180x180x8 (w),w,180,180,8,12,8
52,180x180x10 (w),w,180,180,10,15,10
53,"180x180x12,5 (w)",w,180,180,12.5,18.75,12.5
54,200x200x5 (w),w,200,200,5,7.5,5
55,"200x200x6,3 (w)",w,200,200,6.3,9.45,6.3
56,200x200x8 (w),w,200,200,8,12,8
57,200x200x10 (w),w,200,200,10,15,10
58,"200x200x12,5 (w)",w,200,200,12.5,18.75,12.5
59,200x200x16 (w),w,200,200,16,24,16
60,"220x220x6,3 (w)",w,220,220,6.3,9.45,6.3
61,220x220x8 (w),w,220,220,8,12,8
62,220x220x10 (w),w,220,220,10,15,10
63,"220x220x12,5 (w)",w,220,220,12.5,18.75,12.5
64,220x220x16 (w),w,220,220,16,24,16
65,"250x250x6,3 (w)",w,250,250,6.3,9.45,6.3
66,250x250x8 (w),w,250,250,8,12,8
67,250x250x10 (w),w,250,250,10,15,10
68,"250x250x12,5 (w)",w,250,250,12.5,18.75,12.5
69,250x250x16 (w),w,250,250,16,24,16
70,"260x260x6,3 (w)",w,260,260,6.3,9.45,6.3
71,260x260x8 (w),w,260,260,8,12,8
72,260x260x10 (w),w,260,260,10,15,10
73,"260x260x12,5 (w)",w,260,260,12.5,18.75,12.5
74,260x260x16 (w),w,260,260,16,24,16
75,"300x300x6,3 (w)",w,300,300,6.3,9.45,6.3
76,300x300x8 (w),w,300,300,8,12,8
77,300x300x10 (w),w,300,300,10,15,10
78,"300x300x12,5 (w)",w,300,300,12.5,18.75,12.5
79,300x300x16 (w),w,300,300,16,24,16
80,350x350x8 (w),w,350,350,8,12,8
81,350x350x10 (w),w,350,350,10,15,10
82,"350x350x12,5 (w)",w,350,350,12.5,18.75,12.5
83,350x350x16 (w),w,350,350,16,24,16
84,400x400x10 (w),w,400,400,10,15,10
85,"400x400x12,5 (w)",w,400,400,12.5,18.75,12.5
86,400x400x16 (w),w,400,400,16,24,16
87,400x400x20 (w),w,400,400,20,30,20
88,"30x30x2,5 (k)",k,30,30,2.5,5,2.5
89,30x30x3 (k),k,30,30,3,6,3
90,40x40x3 (k),k,40,40,3,6,3
91,40x40x4 (k),k,40,40,4,8,4
92,50x50x3 (k),k,50,50,3,6,3
93,50x50x4 (k),k,50,50,4,8,4
94,50x50x5 (k),k,50,50,5,10,5
95,60x60x3 (k),k,60,60,3,6,3
96,60x60x4 (k),k,60,60,4,8,4
97,60x60x5 (k),k,60,60,5,10,5
98,"60x60x6,3 (k)",k,60,60,6.3,15.75,9.45
99,70x70x3 (k),k,70,70,3,6,3
100,70x70x4 (k),k,70,70,4,8,4
101,70x70x5 (k),k,70,70,5,10,5
102,"70x70x6,3 (k)",k,70,70,6.3,15.75,9.45
103,80x80x3 (k),k,80,80,3,6,3
104,80x80x4 (k),k,80,80,4,8,4
105,80x80x5 (k),k,80,80,5,10,5
106,"80x80x6,3 (k)",k,80,80,6.3,15.75,9.45
107,80x80x8 (k),k,80,80,8,20,12
