id,h,b,tw,tf,r,A,hi,d,Iy,"Wel,y","Wpl,y",Avz,Iz,"Wel,z","Wpl,z",It
IPE 80,80,46,3.8,5.2,5,7.64,69.6,59.599999999999994,80.1,20,23.22,3.6,8.49,3.69,5.818,0.698
IPE 100,100,55,4.1,5.7,7,10.3,88.6,74.6,171,34.2,39.41,5.1,15.9,5.79,9.146,1.2
IPE 120,120,64,4.4,6.3,7,13.2,107.4,93.4,318,53,60.73,6.3,27.7,8.65,13.58,1.74
IPE 140,140,73,4.7,6.9,7,16.4,126.2,112.2,541,77.3,88.34,7.6,44.9,12.3,19.25,2.45
IPE 160,160,82,5,7.4,9,20.1,145.2,127.19999999999999,869,109,123.9,9.7,68.3,16.7,26.1,3.6
IPE 180,180,91,5.3,8,9,23.9,164,146,1320,146,166.4,11.2,101,22.2,34.6,4.79
IPE 200,200,100,5.6,8.5,12,28.5,183,159,1940,194,220.6,14,142,28.5,44.61,6.98
IPE 220,220,110,5.9,9.2,12,33.4,201.6,177.6,2770,252,285.4,15.9,205,37.3,58.11,9.07
IPE 240,240,120,6.2,9.8,15,39.1,220.4,190.4,3890,324,366.6,19.1,284,47.3,73.92,12.9
IPE 270,270,135,6.6,10.2,15,45.9,249.6,219.6,5790,429,484,22.1,420,62.2,96.95,15.9
IPE 300,300,150,7.1,10.7,15,53.8,278.6,248.60000000000002,8360,557,628.4,25.7,604,80.5,125.2,20.1
IPE 330,330,160,7.5,11.5,18,62.6,307,271,11770,713,804.3,30.8,788,98.5,153.7,28.1
IPE 360,360,170,8,12.7,18,72.7,334.6,298.6,16270,904,1019,35.1,1040,123,191.1,37.3
IPE 400,400,180,8.6,13.5,21,84.5,373,331,23130,1160,1307,42.7,1320,146,229,51.1
IPE 450,450,190,9.4,14.6,21,98.8,420.8,378.8,33740,1500,1702,50.8,1680,176,276.4,66.9
IPE 500,500,200,10.2,16,21,116,468,426,48200,1930,2194,60.4,2140,214,335.9,89.3
IPE 550,550,210,11.1,17.2,24,134,515.6,467.6,67120,2440,2787,71.9,2670,254,400.5,123
IPE 600,600,220,12,19,24,156,562,514,92080,3070,3512,83.8,3390,308,485.6,165
HEA 100,96,100,5,8,12,21.2,80,56,349,72.8,83.01,7.5,134,26.8,41.14,5.24
HEA 120,114,120,5,8,12,25.3,98,74,606,106,119.5,8.4,231,38.5,58.85,5.99
HEA 140,133,140,5.5,8.5,12,31.4,116,92,1030,155,173.5,10.1,389,55.6,84.85,8.13
HEA 160,152,160,6,9,15,38.8,134,104,1670,220,245.1,13.2,616,76.9,117.6,12.2
HEA 180,171,180,6,9.5,15,45.3,152,122,2510,294,324.9,14.5,925,103,156.5,14.8
HEA 200,190,200,6.5,10,18,53.8,170,134,3690,389,429.5,18.1,1340,134,203.8,21
HEA 220,210,220,7,11,18,64.3,188,152,5410,515,568.5,20.6,1950,178,270.6,28.5
HEA 240,230,240,7.5,12,21,76.8,206,164,7760,675,744.6,25.1,2770,231,351.7,41.6
HEA 260,250,260,7.5,12.5,24,86.8,225,177,10450,836,919.8,28.7,3670,282,430.2,52.4
HEA 280,270,280,8,13,24,97.3,244,196,13670,1010,1112,31.8,4760,340,518.1,62.1
HEA 300,290,300,8.5,14,27,113,262,208,18260,1260,1383,37.8,6310,421,641.2,85.2
HEA 320,310,300,9,15.5,27,124,279,225,22930,1480,1628,40.8,6990,466,709.7,108
HEA 340,330,300,9.5,16.5,27,133,297,243,27690,1680,1850,44.5,7440,496,755.9,127
HEA 360,350,300,10,17.5,27,143,315,261,33090,1890,2088,49.2,7890,526,802.3,149
HEA 400,390,300,11,19,27,159,352,298,45070,2310,2562,57.4,8560,571,872.9,189
HEA 450,440,300,11.5,21,27,178,398,344,63720,2900,3216,65.8,9470,631,965.5,244
HEA 500,490,300,12,23,27,198,444,390,86970,3550,3949,75.2,10370,691,1059,309
HEA 550,540,300,12.5,24,27,212,492,438,111900,4150,4622,84,10820,721,1107,352
HEA 600,590,300,13,25,27,226,540,486,141200,4790,5350,92.8,11270,751,1156,398
HEA 650,640,300,13.5,26,27,242,588,534,175200,5470,6136,103.6,11720,782,1205,448
HEA 700,690,300,14.5,27,27,260,636,582,215300,6240,7032,116.5,12180,812,1257,514
HEA 800,790,300,15,28,30,286,734,674,303400,7680,8699,139,12640,843,1312,597
HEA 900,890,300,16,30,30,321,830,770,422100,9480,10810,163.8,13550,903,1414,737
