section,D,s,T,M,A,D/t,I,r,Z,S,J,C,As,"Nominal Length Per Tonne"
"21,3x2,3",21.3,,2.3,1.08,1.37,9.26,0.629,0.677,0.59,0.834,1.26,1.18,0.0669,928
"21,3x2,6",21.3,,2.6,1.2,1.53,8.19,0.681,0.668,0.639,0.915,1.36,1.28,0.0669,834
"21,3x3,2",21.3,,3.2,1.43,1.82,6.66,0.768,0.65,0.722,1.06,1.54,1.44,0.0669,700
"26,9x2,3",26.9,,2.3,1.4,1.78,11.7,1.36,0.874,1.01,1.4,2.71,2.02,0.0845,717
"26,9x2,6",26.9,,2.6,1.56,1.98,10.3,1.48,0.864,1.1,1.54,2.96,2.2,0.0845,642
"26,9x3,2",26.9,,3.2,1.87,2.38,8.41,1.7,0.846,1.27,1.81,3.41,2.54,0.0845,535
"33,7x2,6",33.7,,2.6,1.99,2.54,13,3.09,1.1,1.84,2.52,6.19,3.68,0.106,501
"33,7x3",33.7,,3,2.27,2.89,11.2,3.44,1.09,2.04,2.84,6.88,4.08,0.106,440
"33,7x3,2",33.7,,3.2,2.41,3.07,10.5,3.6,1.08,2.14,2.99,7.21,4.28,0.106,415
"33,7x3,6",33.7,,3.6,2.67,3.4,9.36,3.91,1.07,2.32,3.28,7.82,4.64,0.106,374
"33,7x4",33.7,,4,2.93,3.73,8.43,4.19,1.06,2.49,3.55,8.38,4.98,0.106,341
"42,4x2,6",42.4,,2.6,2.55,3.25,16.3,6.46,1.41,3.05,4.12,12.9,6.1,0.133,392
"42,4x3",42.4,,3,2.91,3.71,14.1,7.25,1.4,3.42,4.67,14.5,6.84,0.133,343
"42,4x3,2",42.4,,3.2,3.09,3.94,13.2,7.62,1.39,3.59,4.93,15.2,7.18,0.133,323
"42,4x3,6",42.4,,3.6,3.44,4.39,11.8,8.33,1.38,3.93,5.44,16.7,7.86,0.133,290
"42,4x4",42.4,,4,3.79,4.83,10.6,8.99,1.36,4.24,5.92,18,8.48,0.133,264
"48,3x2,5",48.3,,2.5,2.82,3.6,19.3,9.46,1.62,3.92,5.25,18.9,7.84,0.152,354
"48,3x2,6",48.3,,2.6,2.93,3.73,18.6,9.78,1.62,4.05,5.44,19.6,8.1,0.152,341
"48,3x3",48.3,,3,3.35,4.27,16.1,11,1.61,4.55,6.17,22,9.1,0.152,298
"48,3x3,2",48.3,,3.2,3.56,4.53,15.1,11.6,1.6,4.8,6.52,23.2,9.6,0.152,281
"48,3x3,6",48.3,,3.6,3.97,5.06,13.4,12.7,1.59,5.26,7.21,25.4,10.5,0.152,252
"48,3x4",48.3,,4,4.37,5.57,12.1,13.8,1.57,5.7,7.87,27.5,11.4,0.152,229
"48,3x5",48.3,,5,5.34,6.8,9.66,16.2,1.54,6.69,9.42,32.3,13.4,0.152,187
"60,3x2,5",60.3,,2.5,3.56,4.54,24.1,19,2.05,6.3,8.36,38,12.6,0.189,281
"60,3x2,6",60.3,,2.6,3.7,4.71,23.2,19.7,2.04,6.52,8.66,39.3,13,0.189,270
"60,3x3",60.3,,3,4.24,5.4,20.1,22.2,2.03,7.37,9.86,44.4,14.7,0.189,236
"60,3x3,2",60.3,,3.2,4.51,5.74,18.8,23.5,2.02,7.78,10.4,46.9,15.6,0.189,222
"60,3x3,6",60.3,,3.6,5.03,6.41,16.8,25.9,2.01,8.58,11.6,51.7,17.2,0.189,199
"60,3x4",60.3,,4,5.55,7.07,15.1,28.2,2,9.34,12.7,56.3,18.7,0.189,180
"60,3x5",60.3,,5,6.82,8.69,12.1,33.5,1.96,11.1,15.3,67,22.2,0.189,147
"76,1x2,5",76.1,,2.5,4.54,5.78,30.4,39.2,2.6,10.3,13.5,78.4,20.6,0.239,220
"76,1x2,6",76.1,,2.6,4.71,6,29.3,40.6,2.6,10.7,14.1,81.2,21.4,0.239,212
"76,1x3",76.1,,3,5.41,6.89,25.4,46.1,2.59,12.1,16,92.2,24.2,0.239,185
"76,1x3,2",76.1,,3.2,5.75,7.33,23.8,48.8,2.58,12.8,17,97.6,25.6,0.239,174
"76,1x3,6",76.1,,3.6,6.44,8.2,21.1,54,2.57,14.2,18.9,108,28.4,0.239,155
"76,1x4",76.1,,4,7.11,9.06,19,59.1,2.55,15.5,20.8,118,31,0.239,141
"76,1x5",76.1,,5,8.77,11.2,15.2,70.9,2.52,18.6,25.3,142,37.2,0.239,114
"76,1x6",76.1,,6,10.4,13.2,12.7,81.8,2.49,21.5,29.6,164,43,0.239,96.4
"76,1x6,3",76.1,,6.3,10.8,13.8,12.1,84.8,2.48,22.3,30.8,170,44.6,0.239,92.2
"88,9x2,5",88.9,,2.5,5.33,6.79,35.6,63.4,3.06,14.3,18.7,127,28.6,0.279,188
"88,9x3",88.9,,3,6.36,8.1,29.6,74.8,3.04,16.8,22.1,150,33.6,0.279,157
"88,9x3,2",88.9,,3.2,6.76,8.62,27.8,79.2,3.03,17.8,23.5,158,35.6,0.279,148
"88,9x3,6",88.9,,3.6,7.57,9.65,24.7,87.9,3.02,19.8,26.2,176,39.6,0.279,132
"88,9x4",88.9,,4,8.38,10.7,22.2,96.3,3,21.7,28.9,193,43.4,0.279,119
